currency,description,displaySymbol,figi,figiComposite,isin,mic,shareClassFIGI,symbol,symbol2,type
USD,ENVERIC BIOSCIENCES INC,ENVB,BBG000BBQ281,BBG000BBQ281,,XNAS,BBG001S5W660,ENVB,,Common Stock
USD,MONDAY.COM LTD,MNDY,BBG00GF8K4W4,BBG00GF8K4W4,,XNAS,BBG00GF8K4X3,MNDY,,Common Stock
USD,SACYR SA,SYRVF,BBG000BZYMQ5,BBG000BZYMQ5,,OOTC,BBG001S69SF6,SYRVF,,Common Stock
USD,HCM IV ACQUISITION CORP CL-A,HACQ,BBG021FTZVQ0,BBG021FTZVQ0,,XNAS,BBG021FTZYG5,HACQ,,Common Stock
USD,PRINCIPAL FINANCIAL GROUP,PFG,BBG000NSCNT7,BBG000NSCNT7,,XNAS,BBG001SD3148,PFG,,Common Stock
USD,AYALA CORPORATION-UNSPON ADR,AYALY,BBG000DJCDK9,BBG000DJCDK9,,OOTC,BBG001T48K22,AYALY,,ADR
USD,RYZON MATERIALS LTD,MNSEF,BBG000P30LX2,BBG000P30LX2,,OOTC,BBG001SHC0N0,MNSEF,,Common Stock
USD,FOX CORP - CLASS A,FOXA,BBG00JHNJW99,BBG00JHNJW99,,XNAS,BBG00JHNJX06,FOXA,,Common Stock
USD,PENNON GROUP PLC,PEGRF,BBG000F1ZCM1,BBG000F1ZCM1,,OOTC,BBG001SBYZG0,PEGRF,,Common Stock
USD,ISHARES ASIA 50 ETF,AIA,BBG000TVYW56,BBG000TVYW56,,XNAS,BBG001T0LKC4,AIA,,ETP
,BlackRock Target Allocation ETF 60 40,BTAEHX,,,,XNAS,,BTAEHX,,
USD,ELYS BMG GROUP INC,ELYS,BBG000BB7S49,BBG000BB7S49,,OOTC,BBG001S5S692,ELYS,,Common Stock
USD,MORTGAGE OIL CORP,MGAG,BBG000C2BX60,BBG000C2BX60,,OOTC,BBG001S7RRL9,MGAG,,Common Stock
USD,MS INTERNATIONAL PLC,MSILF,BBG000CSVLZ5,BBG000CSVLZ5,,OOTC,BBG001S62R38,MSILF,,Common Stock
USD,NICHOLS BTCN TRS AFTRDRK ETF,NGHT,BBG020KZG6Z8,BBG020KZG6Z8,,XNAS,BBG020KZG848,NGHT,,ETP
